id;sku;name;price;quantity
P-001;SKU-001;Wireless Mouse Logitech;450.00;35
P-002;SKU-002;Mechanical Keyboard;1200.50;18
P-003;SKU-003;24" Full HD Monitor;5800.00;7
P-004;SKU-004;USB-C Cable 1m;90.00;120
P-005;SKU-005;Wireless Headphones;1350.00;42
P-006;SKU-006;HD Webcam;780.00;25
P-007;SKU-007;External SSD 1TB;2400.00;15
P-008;SKU-008;Power Bank 20000mAh;950.00;60
P-009;SKU-009;Mouse Pad;150.00;90
P-010;SKU-010;HDMI Cable 2m;220.00;33
P-011;SKU-011;Laptop Stand;300.00
P-012;SKU-012;USB Flash Drive 64GB;lots;200
P-013;;Smart Watch;3200.00;10
